,Height,ConTime,Txs,TotalTime,NonConTime,Throughput,Overhead,Latency
0,1.0,2516253349.0,0.0,4759.650259,0.0,262.8940234162615,0.0,2.358364758328125
1,2.0,105275331.0,0.0,2219.741996,0.0,0.0,0.0,0.0
2,3.0,201685241.0,0.0,2085.902127,0.0,0.0,0.0,0.0
3,4.0,301851756.0,0.0,2127.957366,0.0,0.0,0.0,0.0
4,5.0,404395346.0,0.0,2378.073913,0.0,0.0,0.0,0.0
5,6.0,303741220.0,0.0,2466.73398,0.0,0.0,0.0,0.0
6,7.0,1318713.0,0.0,1770.104291,0.0,0.0,0.0,0.0
7,8.0,434698383.0,0.0,2248.18182,0.0,0.0,0.0,0.0
8,9.0,401921769.0,0.0,2434.477463,0.0,0.0,0.0,0.0
9,10.0,321907556.0,0.0,2365.666404,0.0,0.0,0.0,0.0
10,11.0,109116973.0,0.0,2110.360527,0.0,0.0,0.0,0.0
11,12.0,201832814.0,0.0,2341.434236,0.0,0.0,0.0,0.0
12,13.0,201541908.0,0.0,2196.273313,0.0,0.0,0.0,0.0
13,14.0,106767286.0,0.0,1873.348829,0.0,0.0,0.0,0.0
14,15.0,502188319.0,0.0,2660.947466,0.0,0.0,0.0,0.0
15,16.0,199068705.0,0.0,4349.866174,0.0,0.0,0.0,0.0
16,17.0,28210446.0,0.0,588.999746,0.0,0.0,0.0,0.0
17,18.0,104822416.0,0.0,1850.079478,0.0,0.0,0.0,0.0
18,19.0,105567843.0,0.0,2186.063906,0.0,0.0,0.0,0.0
19,20.0,301628049.0,0.0,2025.85661,0.0,0.0,0.0,0.0
20,21.0,201564448.0,0.0,2291.577464,0.0,0.0,0.0,0.0
21,22.0,5157999.0,0.0,2436.506775,0.0,0.0,0.0,0.0
22,23.0,703471583.0,0.0,1587.689042,0.0,0.0,0.0,0.0
23,24.0,404475330.0,0.0,2587.583514,0.0,0.0,0.0,0.0
24,25.0,4248069.0,0.0,2541.084395,0.0,0.0,0.0,0.0
25,26.0,401909437.0,0.0,2009.945676,0.0,0.0,0.0,0.0
26,27.0,203011075.0,0.0,2441.928248,0.0,0.0,0.0,0.0
27,28.0,506287342.0,0.0,1903.539467,0.0,0.0,0.0,0.0
28,29.0,321041026.0,0.0,2619.06245,0.0,0.0,0.0,0.0
29,30.0,204897080.0,0.0,2353.938913,0.0,0.0,0.0,0.0
30,31.0,208124252.0,0.0,2348.888754,0.0,0.0,0.0,0.0
31,32.0,6527066.0,0.0,4372.650179,0.0,0.0,0.0,0.0
32,33.0,301779814.0,0.0,312.851891,0.0,0.0,0.0,0.0
33,34.0,309555037.0,0.0,1887.465813,0.0,0.0,0.0,0.0
34,35.0,105372268.0,0.0,2373.688104,0.0,0.0,0.0,0.0
35,36.0,109104238.0,0.0,2498.497871,0.0,0.0,0.0,0.0
36,37.0,306294634.0,0.0,2184.071539,0.0,0.0,0.0,0.0
37,38.0,201772028.0,0.0,2242.282968,0.0,0.0,0.0,0.0
38,39.0,106319531.0,0.0,2415.497164,0.0,0.0,0.0,0.0
39,40.0,114133706.0,0.0,2421.988126,0.0,0.0,0.0,0.0
40,41.0,502156203.0,0.0,2292.830769,0.0,0.0,0.0,0.0
41,42.0,103875636.0,0.0,1865.349509,0.0,0.0,0.0,0.0
42,43.0,213858596.0,0.0,2633.140185,0.0,0.0,0.0,0.0
43,44.0,214582527.0,0.0,2071.806918,0.0,0.0,0.0,0.0
44,45.0,104975373.0,0.0,2292.382688,0.0,0.0,0.0,0.0
45,46.0,293213366.0,0.0,2426.769031,0.0,0.0,0.0,0.0
46,47.0,1409642017.0,0.0,1996.836677,0.0,0.0,0.0,0.0
