,Height,ConTime,Txs,TotalTime,NonConTime,Throughput,Overhead,Latency
0,1.0,3119161251.0,0.0,9519.484135,0.0,270.05994450332446,0.0,7.4798208365
1,2.0,907891766.0,0.0,7491.471723,0.0,0.0,0.0,0.0
2,3.0,489333408.0,0.0,7465.018594,0.0,0.0,0.0,0.0
3,4.0,402005069.0,0.0,6531.008899,0.0,0.0,0.0,0.0
4,5.0,1109547670.0,0.0,8114.198551,0.0,0.0,0.0,0.0
5,6.0,207207519.0,0.0,7025.862116,0.0,0.0,0.0,0.0
6,7.0,419459058.0,0.0,7412.478804,0.0,0.0,0.0,0.0
7,8.0,309938507.0,0.0,7170.146398,0.0,0.0,0.0,0.0
8,9.0,421070102.0,0.0,7433.076621,0.0,0.0,0.0,0.0
9,10.0,402386968.0,0.0,7222.105126,0.0,0.0,0.0,0.0
10,11.0,508642047.0,0.0,7395.067106,0.0,0.0,0.0,0.0
11,12.0,323692377.0,0.0,7334.083179,0.0,0.0,0.0,0.0
12,13.0,402290464.0,0.0,7599.59282,0.0,0.0,0.0,0.0
13,14.0,104298981.0,0.0,7189.580853,0.0,0.0,0.0,0.0
14,15.0,303956940.0,0.0,7412.80832,0.0,0.0,0.0,0.0
15,16.0,311345784.0,0.0,7868.407574,0.0,0.0,0.0,0.0
16,17.0,3623940.0,0.0,6990.079639,0.0,0.0,0.0,0.0
17,18.0,408653968.0,0.0,7479.548701,0.0,0.0,0.0,0.0
18,19.0,396708159.0,0.0,7521.888571,0.0,0.0,0.0,0.0
19,20.0,510156924.0,0.0,7421.043909,0.0,0.0,0.0,0.0
20,21.0,502166141.0,0.0,7153.297683,0.0,0.0,0.0,0.0
21,22.0,802795152.0,0.0,7805.106997,0.0,0.0,0.0,0.0
22,23.0,402112241.0,0.0,7612.553805,0.0,0.0,0.0,0.0
23,24.0,103281866.0,0.0,6699.074757,0.0,0.0,0.0,0.0
24,25.0,708156960.0,0.0,7840.132312,0.0,0.0,0.0,0.0
25,26.0,405597768.0,0.0,7288.297051,0.0,0.0,0.0,0.0
26,27.0,411712891.0,0.0,7343.739151,0.0,0.0,0.0,0.0
27,28.0,605259848.0,0.0,7631.625572,0.0,0.0,0.0,0.0
28,29.0,304368647.0,0.0,7674.841432,0.0,0.0,0.0,0.0
29,30.0,105503703.0,0.0,6450.867406,0.0,0.0,0.0,0.0
30,31.0,1210935248.0,0.0,8825.038877,0.0,0.0,0.0,0.0
31,32.0,405808113.0,0.0,7732.702347,0.0,0.0,0.0,0.0
32,33.0,109100129.0,0.0,7091.627291,0.0,0.0,0.0,0.0
33,34.0,509299545.0,0.0,7733.268189,0.0,0.0,0.0,0.0
34,35.0,316268311.0,0.0,4989.228404,0.0,0.0,0.0,0.0
35,36.0,2814795224.0,0.0,9609.445093,0.0,0.0,0.0,0.0
36,37.0,705347173.0,0.0,7770.661989,0.0,0.0,0.0,0.0
37,38.0,502059161.0,0.0,7841.900865,0.0,0.0,0.0,0.0
38,39.0,101541793.0,0.0,7457.619463,0.0,0.0,0.0,0.0
39,40.0,201834460.0,0.0,7044.853137,0.0,0.0,0.0,0.0
40,41.0,705737889.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
