,Height,ConTime,Txs,TotalTime,NonConTime,Throughput,Overhead,Latency
0,1.0,913047318.0,0.0,4396.511529,0.0,266.32876261868125,0.0,3.82985296056962
1,2.0,401915223.0,0.0,3963.459701,0.0,0.0,0.0,0.0
2,3.0,8489313.0,0.0,3285.814445,0.0,0.0,0.0,0.0
3,4.0,411625601.0,0.0,3627.620844,0.0,0.0,0.0,0.0
4,5.0,402243500.0,0.0,3810.465042,0.0,0.0,0.0,0.0
5,6.0,310935697.0,0.0,3612.640604,0.0,0.0,0.0,0.0
6,7.0,107919556.0,0.0,3553.643036,0.0,0.0,0.0,0.0
7,8.0,437958437.0,0.0,3840.729536,0.0,0.0,0.0,0.0
8,9.0,226405795.0,0.0,2536.721152,0.0,0.0,0.0,0.0
9,10.0,1310499208.0,0.0,4667.954201,0.0,0.0,0.0,0.0
10,11.0,301826409.0,0.0,3471.412758,0.0,0.0,0.0,0.0
11,12.0,301707931.0,0.0,3822.748477,0.0,0.0,0.0,0.0
12,13.0,309065857.0,0.0,3272.177214,0.0,0.0,0.0,0.0
13,14.0,707987936.0,0.0,4111.613951,0.0,0.0,0.0,0.0
14,15.0,301866644.0,0.0,3926.31093,0.0,0.0,0.0,0.0
15,16.0,103288950.0,0.0,3556.142978,0.0,0.0,0.0,0.0
16,17.0,110841033.0,0.0,3367.82154,0.0,0.0,0.0,0.0
17,18.0,519208723.0,0.0,4114.665384,0.0,0.0,0.0,0.0
18,19.0,204371803.0,0.0,3780.232983,0.0,0.0,0.0,0.0
19,20.0,201670894.0,0.0,3599.861808,0.0,0.0,0.0,0.0
20,21.0,216774769.0,0.0,3630.056724,0.0,0.0,0.0,0.0
21,22.0,317956010.0,0.0,3300.823687,0.0,0.0,0.0,0.0
22,23.0,802669067.0,0.0,4102.073111,0.0,0.0,0.0,0.0
23,24.0,311746162.0,0.0,3737.337682,0.0,0.0,0.0,0.0
24,25.0,306754495.0,0.0,5116.06452,0.0,0.0,0.0,0.0
25,26.0,1296387.0,0.0,2933.754742,0.0,0.0,0.0,0.0
26,27.0,1275004.0,0.0,3282.741008,0.0,0.0,0.0,0.0
27,28.0,104766064.0,0.0,3580.444852,0.0,0.0,0.0,0.0
28,29.0,303023946.0,0.0,3877.691099,0.0,0.0,0.0,0.0
29,30.0,307457871.0,0.0,3585.491865,0.0,0.0,0.0,0.0
30,31.0,301976733.0,0.0,4201.801129,0.0,0.0,0.0,0.0
31,32.0,406544109.0,0.0,3910.63948,0.0,0.0,0.0,0.0
32,33.0,305352512.0,0.0,3611.540434,0.0,0.0,0.0,0.0
33,34.0,405859790.0,0.0,3568.167588,0.0,0.0,0.0,0.0
34,35.0,605649703.0,0.0,3536.180953,0.0,0.0,0.0,0.0
35,36.0,702654176.0,0.0,4341.511951,0.0,0.0,0.0,0.0
36,37.0,302963621.0,0.0,3765.791054,0.0,0.0,0.0,0.0
37,38.0,410113412.0,0.0,3322.604061,0.0,0.0,0.0,0.0
38,39.0,802825869.0,0.0,4425.286892,0.0,0.0,0.0,0.0
39,40.0,105173260.0,0.0,3529.158179,0.0,0.0,0.0,0.0
40,41.0,228667777.0,0.0,4830.752345,0.0,0.0,0.0,0.0
41,42.0,1310967.0,0.0,3161.535594,0.0,0.0,0.0,0.0
42,43.0,1283168.0,0.0,3428.119115,0.0,0.0,0.0,0.0
43,44.0,103820415.0,0.0,3749.502043,0.0,0.0,0.0,0.0
44,45.0,105176751.0,0.0,3795.47079,0.0,0.0,0.0,0.0
45,46.0,108773365.0,0.0,3472.774573,0.0,0.0,0.0,0.0
46,47.0,518032033.0,0.0,3982.210235,0.0,0.0,0.0,0.0
47,48.0,203793472.0,0.0,3719.100186,0.0,0.0,0.0,0.0
48,49.0,310181533.0,0.0,3811.108626,0.0,0.0,0.0,0.0
49,50.0,216755442.0,0.0,3822.345234,0.0,0.0,0.0,0.0
50,51.0,301716705.0,0.0,3722.978734,0.0,0.0,0.0,0.0
