,Height,ConTime,Txs,TotalTime,NonConTime,Throughput,Overhead,Latency
0,1.0,2246817.0,0.0,3504.685649,0.0,370.5540364006865,0.0,4.3718320160147055
1,2.0,502040429.0,0.0,3566.542546,0.0,0.0,0.0,0.0
2,3.0,907054239.0,0.0,4629.426791,0.0,0.0,0.0,0.0
3,4.0,307023301.0,0.0,3873.148644,0.0,0.0,0.0,0.0
4,5.0,505869389.0,0.0,3680.993324,0.0,0.0,0.0,0.0
5,6.0,804858495.0,0.0,4450.00001,0.0,0.0,0.0,0.0
6,7.0,404057716.0,0.0,4071.6112,0.0,0.0,0.0,0.0
7,8.0,218828142.0,0.0,3818.859052,0.0,0.0,0.0,0.0
8,9.0,486953728.0,0.0,4959.441665,0.0,0.0,0.0,0.0
9,10.0,58563647.0,0.0,3213.434103,0.0,0.0,0.0,0.0
10,11.0,409058650.0,0.0,3832.371431,0.0,0.0,0.0,0.0
11,12.0,501962901.0,0.0,4251.643794,0.0,0.0,0.0,0.0
12,13.0,207522230.0,0.0,3565.167261,0.0,0.0,0.0,0.0
13,14.0,707064283.0,0.0,4072.957308,0.0,0.0,0.0,0.0
14,15.0,805755014.0,0.0,4001.873357,0.0,0.0,0.0,0.0
15,16.0,903739498.0,0.0,4339.482677,0.0,0.0,0.0,0.0
16,17.0,808022576.0,0.0,4612.111761,0.0,0.0,0.0,0.0
17,18.0,202651112.0,0.0,4169.468858,0.0,0.0,0.0,0.0
18,19.0,101324540.0,0.0,3679.073718,0.0,0.0,0.0,0.0
19,20.0,903540689.0,0.0,3441.060292,0.0,0.0,0.0,0.0
20,21.0,1603958760.0,0.0,5317.917339,0.0,0.0,0.0,0.0
21,22.0,404394285.0,0.0,4013.284705,0.0,0.0,0.0,0.0
22,23.0,602066627.0,0.0,4295.589807,0.0,0.0,0.0,0.0
23,24.0,303723218.0,0.0,4197.716825,0.0,0.0,0.0,0.0
24,25.0,205818918.0,0.0,4058.516173,0.0,0.0,0.0,0.0
25,26.0,215307308.0,0.0,3661.004217,0.0,0.0,0.0,0.0
26,27.0,502035725.0,0.0,4605.110193,0.0,0.0,0.0,0.0
27,28.0,205171608.0,0.0,3926.444913,0.0,0.0,0.0,0.0
28,29.0,1006735056.0,0.0,4699.391443,0.0,0.0,0.0,0.0
29,30.0,1403663838.0,0.0,5149.210262,0.0,0.0,0.0,0.0
30,31.0,401784767.0,0.0,3202.792173,0.0,0.0,0.0,0.0
31,32.0,1408017657.0,0.0,4585.842592,0.0,0.0,0.0,0.0
32,33.0,1005971784.0,0.0,4272.182236,0.0,0.0,0.0,0.0
33,34.0,1006075945.0,0.0,3663.429708,0.0,0.0,0.0,0.0
34,35.0,1604275557.0,0.0,4250.538801,0.0,0.0,0.0,0.0
35,36.0,1519382701.0,0.0,5293.794219,0.0,0.0,0.0,0.0
36,37.0,406092578.0,0.0,4122.941311,0.0,0.0,0.0,0.0
37,38.0,502045817.0,0.0,4984.362033,0.0,0.0,0.0,0.0
38,39.0,102590341.0,0.0,3729.670337,0.0,0.0,0.0,0.0
39,40.0,712602913.0,0.0,4580.30036,0.0,0.0,0.0,0.0
40,41.0,305595369.0,0.0,4187.829555,0.0,0.0,0.0,0.0
41,42.0,268516024.0,0.0,3011.635196,0.0,0.0,0.0,0.0
42,43.0,1303603668.0,0.0,5036.145244,0.0,0.0,0.0,0.0
43,44.0,708659231.0,0.0,4606.629725,0.0,0.0,0.0,0.0
44,45.0,405325054.0,0.0,4266.229969,0.0,0.0,0.0,0.0
45,46.0,303388503.0,0.0,3908.129534,0.0,0.0,0.0,0.0
46,47.0,607693751.0,0.0,3286.118977,0.0,0.0,0.0,0.0
47,48.0,1420327092.0,0.0,5535.780719,0.0,0.0,0.0,0.0
48,49.0,201493855.0,0.0,4153.600328,0.0,0.0,0.0,0.0
49,50.0,304166958.0,0.0,4244.74611,0.0,0.0,0.0,0.0
50,51.0,403429539.0,0.0,4054.168779,0.0,0.0,0.0,0.0
51,52.0,611702683.0,0.0,4323.772809,0.0,0.0,0.0,0.0
52,53.0,488098915.0,0.0,4794.947059,0.0,0.0,0.0,0.0
53,54.0,4471935.0,0.0,4045.325353,0.0,0.0,0.0,0.0
54,55.0,103360015.0,0.0,3730.509925,0.0,0.0,0.0,0.0
55,56.0,704573475.0,0.0,5373.457582,0.0,0.0,0.0,0.0
56,57.0,306730636.0,0.0,4533.673017,0.0,0.0,0.0,0.0
57,58.0,320430983.0,0.0,4727.962837,0.0,0.0,0.0,0.0
58,59.0,101444605.0,0.0,3591.45246,0.0,0.0,0.0,0.0
59,60.0,820179906.0,0.0,4468.164522,0.0,0.0,0.0,0.0
60,61.0,501899054.0,0.0,4992.396585,0.0,0.0,0.0,0.0
61,62.0,303626764.0,0.0,5303.023467,0.0,0.0,0.0,0.0
62,63.0,401737419.0,0.0,6085.786208,0.0,0.0,0.0,0.0
63,64.0,415162016.0,0.0,3713.907408,0.0,0.0,0.0,0.0
64,65.0,2308759778.0,0.0,7195.432758,0.0,0.0,0.0,0.0
65,66.0,605703935.0,0.0,5207.864686,0.0,0.0,0.0,0.0
66,67.0,1406941264.0,0.0,6430.148662,0.0,0.0,0.0,0.0
67,68.0,849263052.0,0.0,6132.344527,0.0,0.0,0.0,0.0
68,69.0,416585182.0,0.0,0.0,0.0,0.0,0.0,0.0
69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
