,nodeNum,nodeIndex,blocksize,TotalHeights,Throughput,Overhead,Latency
0,6.0,1.0,200.0,112.0,81.9880031027441,0.25754570107540675,2.683319408625
1,6.0,2.0,200.0,112.0,82.08353900837722,0.23902114222034804,2.6801963299553573
2,6.0,3.0,200.0,112.0,82.08767355207502,0.2429240778693264,2.6800613354017857
3,6.0,4.0,200.0,112.0,82.19712986302349,0.2160738662268443,2.676492480535714
4,6.0,5.0,200.0,111.0,82.38928652874581,0.22164082935061477,2.670250092810811
5,6.0,6.0,200.0,112.0,82.27575098122777,0.2447504963470124,2.673934876026786
6,6.0,1.0,400.0,145.0,202.66165249424347,0.35717689999932367,2.072419694751724
7,6.0,2.0,400.0,144.0,203.4630408999346,0.2956197989861914,2.0642569684513887
8,6.0,3.0,400.0,145.0,202.78064192501265,0.38517935251919344,2.071203621868966
9,6.0,4.0,400.0,145.0,202.86964717800504,0.3744851333856613,2.070294920124138
10,6.0,5.0,400.0,145.0,203.15148284278368,0.28216139802598017,2.0674227631655175
11,6.0,6.0,400.0,145.0,203.10981069154107,0.37310577519446203,2.0678469374275865
12,6.0,1.0,600.0,137.0,282.770120751664,0.44678359949531327,2.1925937519562044
13,6.0,2.0,600.0,137.0,282.9184957427328,0.420975460006082,2.1914438586715326
14,6.0,3.0,600.0,137.0,283.05768443108195,0.38096184230774394,2.1903662543065696
15,6.0,4.0,600.0,137.0,283.1496485397242,0.4149707469189747,2.189654845759124
16,6.0,5.0,600.0,137.0,283.6793450723856,0.41517767830535124,2.18556624149635
17,6.0,6.0,600.0,137.0,283.8423485989176,0.49110543756797703,2.1843111257372265
18,6.0,1.0,800.0,121.0,333.5343120683009,0.4724825690998759,2.4585176706859504
19,6.0,2.0,800.0,122.0,332.87634089765345,0.4815950127079307,2.4633772342868854
20,6.0,3.0,800.0,122.0,333.27165328087494,0.49509221148476085,2.460455283032787
21,6.0,4.0,800.0,122.0,333.38906357320735,0.47798578481853293,2.4595887795819675
22,6.0,5.0,800.0,121.0,334.65000573901506,0.4545183356437247,2.450321189115703
23,6.0,6.0,800.0,122.0,333.51513326259544,0.5094110744873324,2.458659047877049
24,6.0,1.0,1000.0,115.0,393.9438942019279,0.574690005449991,2.5892011908608694
25,6.0,2.0,1000.0,115.0,390.60411033770026,0.521402324409972,2.6113396480086957
26,6.0,3.0,1000.0,115.0,394.09245271000157,0.5465263022119013,2.5882251562695653
27,6.0,4.0,1000.0,115.0,394.4721718551227,0.5172105556486473,2.585733729208696
28,6.0,5.0,1000.0,115.0,395.1530702634719,0.5408026562255465,2.581278184982609
29,6.0,6.0,1000.0,115.0,394.67083458092935,0.5589567459472865,2.584432166321739
30,6.0,1.0,1200.0,111.0,451.13818024277106,0.6601144749726813,2.7042712264864863
31,6.0,2.0,1200.0,111.0,451.39759046975524,0.6139787802222031,2.7027171295495496
32,6.0,3.0,1200.0,111.0,452.27112165067615,0.6108801383878476,2.6974970136216214
33,6.0,4.0,1200.0,110.0,451.2380426817833,0.558370239878041,2.703672750527273
34,6.0,5.0,1200.0,111.0,453.06537041839493,0.6123864543053075,2.6927681514774777
35,6.0,6.0,1200.0,111.0,453.1150760235349,0.6407894744389356,2.6924727614594595
36,6.0,1.0,1400.0,104.0,493.7449201492035,0.6738298325368576,2.8759789560384617
37,6.0,2.0,1400.0,104.0,494.7264596319645,0.6556076053016692,2.870273001076923
38,6.0,3.0,1400.0,105.0,497.1426660997474,0.6440833321352687,2.8563229367142857
39,6.0,4.0,1400.0,104.0,495.4993420403462,0.6525360277117385,2.8657959345673074
40,6.0,5.0,1400.0,105.0,497.64123910047283,0.682982396729239,2.85346126572381
41,6.0,6.0,1400.0,104.0,495.9830255700036,0.6880888870349626,2.8630012052692306
42,6.0,1.0,1600.0,100.0,543.7735829397421,0.7485254173904016,2.9791811349899997
43,6.0,2.0,1600.0,100.0,544.5134916827527,0.689121478171645,2.97513289339
44,6.0,3.0,1600.0,100.0,545.1713845828037,0.7012590864196909,2.9715426117600003
45,6.0,4.0,1600.0,100.0,545.6166953476138,0.7252799704190738,2.96911735622
46,6.0,5.0,1600.0,100.0,542.3826954379314,0.7004387561789066,2.9868209543299997
47,6.0,6.0,1600.0,101.0,546.9899938251638,0.7482353838163288,2.9616629523168316
48,6.0,1.0,1800.0,93.0,564.2475679696133,0.8094360152078499,3.2255345052688176
49,6.0,2.0,1800.0,93.0,565.171897769223,0.7265840906625202,3.2202591940322582
50,6.0,3.0,1800.0,93.0,565.8469420683613,0.7504306985085805,3.216417488
51,6.0,4.0,1800.0,92.0,566.7730732653664,0.710660254111673,3.211161725652174
52,6.0,5.0,1800.0,93.0,566.6209884139175,0.7193664401453044,3.212023622870968
53,6.0,6.0,1800.0,93.0,567.4588499699533,0.728136958118737,3.207281021516129
54,6.0,1.0,2000.0,87.0,588.1650867834387,0.8024568029250473,3.4344099052988506
55,6.0,2.0,2000.0,87.0,588.8076712645517,0.7684046854561162,3.4306618248735634
56,6.0,3.0,2000.0,87.0,590.5024503334425,0.7583793431875944,3.4208156102643676
57,6.0,4.0,2000.0,87.0,594.1744644275389,0.7437381267974879,3.399674878229885
58,6.0,5.0,2000.0,88.0,594.9635446193646,0.7639174975680706,3.3951660034772724
59,6.0,6.0,2000.0,87.0,591.8208200970864,0.7798910007141432,3.4131952297126436
60,11.0,1.0,200.0,248.0,181.2737054199488,0.4368738171956174,1.213634374
61,11.0,2.0,200.0,247.0,180.56808205586617,0.4510257304553002,1.2183770104615386
62,11.0,3.0,200.0,248.0,181.22935504130342,0.4655748681406718,1.213931374141129
63,11.0,4.0,200.0,244.0,180.7905803568578,0.44238378493656894,1.2168775583647542
64,11.0,5.0,200.0,248.0,181.5387662295251,0.4617015007406636,1.211862372810484
65,11.0,6.0,200.0,248.0,181.55486792824715,0.5418928343234461,1.211754895423387
66,11.0,7.0,200.0,249.0,182.18671325718043,0.45411888469900386,1.2075523844016063
67,11.0,8.0,200.0,249.0,182.0638596896173,0.45007403643571714,1.2083672200240965
68,11.0,9.0,200.0,249.0,182.05962555983305,0.443122356292816,1.208395322815261
69,11.0,10.0,200.0,249.0,182.29534088580314,0.4727664371952313,1.2068328182771084
70,11.0,11.0,200.0,249.0,182.35173945751654,0.469082747561366,1.206459563558233
71,11.0,1.0,400.0,229.0,319.3850027077601,0.6948286005436163,1.315027306978166
72,11.0,2.0,400.0,229.0,319.3997020150385,0.685039858610851,1.314966787227074
73,11.0,3.0,400.0,229.0,319.6417950034233,0.7246485410072987,1.3139708466331879
74,11.0,4.0,400.0,229.0,319.77011761380226,0.7115672981869715,1.3134435548078605
75,11.0,5.0,400.0,229.0,320.2053507988375,0.714412710554833,1.3116582810131003
76,11.0,6.0,400.0,230.0,322.25909388487247,0.7689663443772294,1.3032991402565217
77,11.0,7.0,400.0,229.0,320.3483021894739,0.6880518438019007,1.311072970043668
78,11.0,8.0,400.0,229.0,320.54940620093856,0.6857769432253317,1.3102504383886464
79,11.0,9.0,400.0,230.0,322.5033966085023,0.7220659428762048,1.3023118652913044
80,11.0,10.0,400.0,228.0,320.7282756033102,0.6929677496798143,1.3095197148114035
81,11.0,11.0,400.0,230.0,321.5708363178828,0.6839113042750294,1.306088589404348
82,11.0,1.0,600.0,169.0,349.34438047373544,0.7796004563253177,1.7747530364142012
83,11.0,2.0,600.0,169.0,349.36885995214135,0.7795306951754514,1.77462868352071
84,11.0,3.0,600.0,169.0,350.3413087037931,0.776736448989191,1.7697028143609466
85,11.0,4.0,600.0,169.0,349.3440729196521,0.7973343163205441,1.7747545988639055
86,11.0,5.0,600.0,168.0,350.73054624329075,0.8064336297476703,1.7677388144285715
87,11.0,6.0,600.0,170.0,349.9226026755585,0.8602666802340916,1.7718203833058825
88,11.0,7.0,600.0,169.0,350.4077077641576,0.7974484320381732,1.7693674718402366
89,11.0,8.0,600.0,169.0,350.2574698087811,0.8067363354218537,1.7701264168284023
90,11.0,9.0,600.0,169.0,350.2518959514069,0.7870760351981019,1.7701545863609467
91,11.0,10.0,600.0,170.0,350.28373944214303,0.8022404513771973,1.7699936656705884
92,11.0,11.0,600.0,170.0,350.9898363028695,0.8103386387781284,1.7664329159235295
93,11.0,1.0,800.0,129.0,353.5981046903958,0.8183949529317023,2.3190169549069766
94,11.0,2.0,800.0,129.0,353.28659691055816,0.8210563912598616,2.3210617305348835
95,11.0,3.0,800.0,129.0,353.7323840434438,0.816820310071021,2.3181366394186047
96,11.0,4.0,800.0,129.0,354.2759168539109,0.8095498232545831,2.3145801365271317
97,11.0,5.0,800.0,129.0,354.6913618078978,0.8465982061754341,2.3118691016899224
98,11.0,6.0,800.0,129.0,354.5310734815775,0.8595565840624904,2.3129143291937986
99,11.0,7.0,800.0,131.0,356.4345377212604,0.8497399305180795,2.3005626930610688
100,11.0,8.0,800.0,130.0,354.34992908584377,0.8423996536791164,2.3140966956461537
101,11.0,9.0,800.0,129.0,353.3982650232923,0.8375350026395642,2.32032831272093
102,11.0,10.0,800.0,130.0,354.2095857804461,0.8397650270823511,2.315013576476923
103,11.0,11.0,800.0,130.0,354.53957732873107,0.8253486419952152,2.312858852538462
104,11.0,1.0,1000.0,106.0,358.6452658846303,0.8385588391931293,2.8440358678207547
105,11.0,2.0,1000.0,106.0,358.6374975865699,0.8668654449076226,2.8440974713018865
106,11.0,3.0,1000.0,106.0,359.4653238832817,0.8617104546842644,2.8375476916132074
107,11.0,4.0,1000.0,106.0,359.2935598156281,0.8260207620583849,2.8389042111509433
108,11.0,5.0,1000.0,106.0,360.0010810572752,0.8645835847493908,2.833324825037736
109,11.0,6.0,1000.0,106.0,360.04375813353164,0.8819364488625875,2.8329889824716985
110,11.0,7.0,1000.0,106.0,360.0671042327781,0.8531801434855887,2.8328052965943398
111,11.0,8.0,1000.0,106.0,359.44488006333097,0.8842163134088039,2.837709080235849
112,11.0,9.0,1000.0,106.0,360.48653534074805,0.8469293648146897,2.8295092881509434
113,11.0,10.0,1000.0,106.0,360.6468674427264,0.8611454062823399,2.828251378509434
114,11.0,11.0,1000.0,106.0,362.4018176235651,0.858901579526072,2.8145554199716982
115,11.0,1.0,1200.0,90.0,365.6063892240573,0.8449475853156302,3.336921990311111
116,11.0,2.0,1200.0,90.0,366.33853560581406,0.8728172238715962,3.3302529803
117,11.0,3.0,1200.0,90.0,366.7889473210074,0.8592201110499273,3.326163476055555
118,11.0,4.0,1200.0,90.0,365.57484924544724,0.8724142553255553,3.3372098833333337
119,11.0,5.0,1200.0,90.0,366.56395167616057,0.8839832927598418,3.328205063322222
120,11.0,6.0,1200.0,90.0,366.53726780047833,0.8798940518658219,3.328447356311111
121,11.0,7.0,1200.0,90.0,366.43650559887294,0.8704480835659774,3.3293626081444443
122,11.0,8.0,1200.0,90.0,366.8690385653272,0.8737307050172752,3.3254373407222224
123,11.0,9.0,1200.0,90.0,366.81297444120685,0.8830129766367523,3.3259456044555553
124,11.0,10.0,1200.0,90.0,367.41105073285934,0.8752932039566526,3.320531588711111
125,11.0,11.0,1200.0,90.0,367.982747683195,0.8810957216066665,3.3153728202777777
126,11.0,1.0,1400.0,77.0,370.5762181815556,0.8581390422823003,3.8318702882987012
127,11.0,2.0,1400.0,77.0,368.88664766702357,0.8582823771501393,3.849420977909091
128,11.0,3.0,1400.0,78.0,367.30475480223294,0.8880125243152939,3.865999504320513
129,11.0,4.0,1400.0,78.0,368.97121828795696,0.895706835506538,3.848538665397436
130,11.0,5.0,1400.0,78.0,368.5342834478562,0.8904112561902001,3.8531014990384618
131,11.0,6.0,1400.0,78.0,368.96204331823765,0.8942082045369044,3.8486343669102565
132,11.0,7.0,1400.0,78.0,369.18727227863315,0.8953870539385258,3.846286442205128
133,11.0,8.0,1400.0,78.0,368.53314015385826,0.8852536213642908,3.853113452448718
134,11.0,9.0,1400.0,78.0,368.9368235581401,0.8848062074760924,3.8488974516153847
135,11.0,10.0,1400.0,78.0,368.9302354866475,0.899732437092641,3.8489661822564103
136,11.0,11.0,1400.0,78.0,371.81192155183436,0.887831974918987,3.819135207051282
137,11.0,1.0,1600.0,68.0,367.6803201520042,0.8830060168795131,4.406001385470589
138,11.0,2.0,1600.0,68.0,367.37942767652027,0.8809025053115899,4.409610005235295
139,11.0,3.0,1600.0,68.0,367.26393735713634,0.8845502543348639,4.410996657220589
140,11.0,4.0,1600.0,68.0,368.649320626793,0.8778308072409307,4.394420142279412
141,11.0,5.0,1600.0,68.0,369.7568293857429,0.8961786418439992,4.381257819338235
142,11.0,6.0,1600.0,68.0,369.1176801040576,0.9271400967986612,4.388844228602942
143,11.0,7.0,1600.0,68.0,370.27655891713164,0.8941314511725533,4.375108175191176
144,11.0,8.0,1600.0,68.0,370.69622372621205,0.8931571512581126,4.370155119779412
145,11.0,9.0,1600.0,68.0,370.24359536808265,0.8927954779378113,4.375497700073529
146,11.0,10.0,1600.0,68.0,370.5540364006865,0.8594857362967261,4.3718320160147055
147,11.0,11.0,1600.0,68.0,370.8449887308102,0.8873715310844021,4.368402025720589
148,11.0,1.0,1800.0,59.0,361.6159598668111,0.8943397481087147,5.03296370179661
149,11.0,2.0,1800.0,60.0,361.33995884956084,0.8907436787428616,5.036808012583333
150,11.0,3.0,1800.0,60.0,361.6659969241069,0.8795923594930375,5.032267383383333
151,11.0,4.0,1800.0,60.0,362.0079240459628,0.8935307960996179,5.027514258966666
152,11.0,5.0,1800.0,60.0,363.6418121459353,0.9232550302064574,5.0049250092
153,11.0,6.0,1800.0,60.0,362.9138821061265,0.9231226461459715,5.014963851583333
154,11.0,7.0,1800.0,60.0,363.1577923228265,0.8937133499605625,5.011595616216666
155,11.0,8.0,1800.0,60.0,364.41513647103096,0.8984491486571698,4.994304072066667
156,11.0,9.0,1800.0,60.0,364.18127462604247,0.903505798868084,4.997511203366667
157,11.0,10.0,1800.0,60.0,364.72280293986336,0.9000773487237016,4.990091064583333
158,11.0,11.0,1800.0,60.0,363.950933197923,0.9014404472711051,5.0006740854
159,11.0,1.0,2000.0,55.0,368.39017903966516,0.9040559387231722,5.483316643418181
160,11.0,2.0,2000.0,55.0,369.27656475782373,0.9043867774109736,5.470154872472727
161,11.0,3.0,2000.0,55.0,369.69334083700926,0.8938187225298676,5.463988059472727
162,11.0,4.0,2000.0,55.0,370.49088040602874,0.8739641508918373,5.452225970545455
163,11.0,5.0,2000.0,55.0,371.896347207895,0.9269651667233175,5.431620974945455
164,11.0,6.0,2000.0,55.0,370.75726022735853,0.9362919476667981,5.448308682509091
165,11.0,7.0,2000.0,55.0,371.8218980270724,0.9091732171278827,5.432708537927272
166,11.0,8.0,2000.0,55.0,372.6375856248781,0.9002963325446197,5.420816573327272
167,11.0,9.0,2000.0,55.0,372.00810518484735,0.9129683969372185,5.429989217563636
168,11.0,10.0,2000.0,55.0,372.02383959971297,0.9021974934460659,5.429759561036364
169,11.0,11.0,2000.0,55.0,374.2218322570246,0.9119103097192452,5.397867857727273
170,16.0,1.0,200.0,230.0,167.84065427484367,0.482781330611066,1.310767054326087
171,16.0,2.0,200.0,231.0,168.5098771461607,0.48652604844787334,1.3055614526926407
172,16.0,3.0,200.0,230.0,167.82702502280839,0.5206752957644012,1.3108735018695652
173,16.0,4.0,200.0,230.0,167.90419160226864,0.5308623252250623,1.3102710414826089
174,16.0,5.0,200.0,115.0,218.22968780278214,0.7990986053090446,1.008112151078261
175,16.0,6.0,200.0,230.0,168.1444404133987,0.49474582177662274,1.308398894778261
176,16.0,7.0,200.0,229.0,167.93914804328068,0.5006971365192587,1.3099983092882097
177,16.0,8.0,200.0,230.0,168.5386319471731,0.5120201315686412,1.3053387075608696
178,16.0,9.0,200.0,230.0,168.52113787651055,0.5048423352102386,1.3054742139304347
179,16.0,10.0,200.0,230.0,168.58515467892124,0.4929726817394583,1.304978486504348
180,16.0,11.0,200.0,217.0,172.7627433714257,0.49460404598947627,1.2734227050737326
181,16.0,12.0,200.0,230.0,168.78057897145476,0.5039747044720246,1.303467504026087
182,16.0,13.0,200.0,230.0,168.8865538629798,0.5083571364600957,1.3026495891347825
183,16.0,14.0,200.0,231.0,169.6982674383685,0.5182584696280034,1.296418657190476
184,16.0,15.0,200.0,231.0,169.92240706994855,0.4894630234216902,1.2947085896060606
185,16.0,16.0,200.0,230.0,169.3919961151402,0.5123851982027936,1.2987626632043479
186,16.0,1.0,400.0,185.0,256.4643227490363,0.799394172204976,1.637654686227027
187,16.0,2.0,400.0,185.0,256.5552954106788,0.8240018666496806,1.6370739856594594
188,16.0,3.0,400.0,185.0,256.6507828389691,0.8101506960006004,1.6364649090648649
189,16.0,4.0,400.0,185.0,257.09019099573425,0.8108881208321043,1.6336679294270269
190,16.0,5.0,400.0,185.0,256.9152947051203,0.9054467773620355,1.6347800565243245
191,16.0,6.0,400.0,185.0,257.0785113812036,0.8008610376902143,1.6337421503783784
192,16.0,7.0,400.0,185.0,257.1992874513152,0.8218260579136323,1.6329749750162164
193,16.0,8.0,400.0,185.0,257.5027474108905,0.8336625926883732,1.6310505585783783
194,16.0,9.0,400.0,185.0,257.66557491921446,0.8187636707063181,1.630019843091892
195,16.0,10.0,400.0,184.0,257.8324897622052,0.8197541695857453,1.6289646056141305
196,16.0,11.0,400.0,186.0,258.55271564686564,0.811997377461585,1.6244269527365591
197,16.0,12.0,400.0,186.0,258.05114223038277,0.8298188704158124,1.6275843476989247
198,16.0,13.0,400.0,185.0,258.0720422859193,0.8270839887532099,1.6274525372054054
199,16.0,14.0,400.0,186.0,258.3933548267652,0.8367684200841963,1.6254287974301076
200,16.0,15.0,400.0,186.0,258.49360066932877,0.8279290530816666,1.6247984434139786
201,16.0,16.0,400.0,186.0,259.2368589027113,0.811026175139564,1.6201399823225806
202,16.0,1.0,600.0,128.0,262.8940234162615,0.8671753486267307,2.358364758328125
203,16.0,2.0,600.0,128.0,262.49418571140734,0.8463204544992743,2.3619570784765624
204,16.0,3.0,600.0,128.0,262.63586291762573,0.875320624318431,2.360682936109375
205,16.0,4.0,600.0,128.0,263.11898299226425,0.8610369292899068,2.3563484205859373
206,16.0,5.0,600.0,128.0,262.988338882226,0.9276324882133427,2.3575189783515627
207,16.0,6.0,600.0,128.0,263.39980129760033,0.8589499585290885,2.3538362479609374
208,16.0,7.0,600.0,128.0,263.3377831378882,0.8628804146483631,2.3543905952734376
209,16.0,8.0,600.0,128.0,263.73542221949697,0.8661707389810634,2.35084083428125
210,16.0,9.0,600.0,128.0,263.6529573482474,0.8558848133550614,2.3515761258125
211,16.0,10.0,600.0,128.0,264.0621393546366,0.863768486648191,2.3479322007890624
212,16.0,11.0,600.0,128.0,263.967723409073,0.8542143448002477,2.3487720089140627
213,16.0,12.0,600.0,128.0,264.2267596467152,0.8495288234058261,2.346469376640625
214,16.0,13.0,600.0,128.0,264.41032230695873,0.8600486740208935,2.3448403776015625
215,16.0,14.0,600.0,128.0,264.64578254017664,0.8785608320238593,2.342754129875
216,16.0,15.0,600.0,128.0,265.19993158502757,0.8750192496657744,2.3378588233203126
217,16.0,16.0,600.0,128.0,265.6482136185493,0.864541675531422,2.3339136806328127
218,16.0,1.0,800.0,97.0,264.40167647441655,0.8732793719078498,3.101341908773196
219,16.0,2.0,800.0,97.0,263.25233466631886,0.8758398542236399,3.114882156845361
220,16.0,3.0,800.0,97.0,264.60996760435097,0.8777993492224294,3.0989006477113406
221,16.0,4.0,800.0,98.0,264.7638322788708,0.8828687309986735,3.0970997546836734
222,16.0,5.0,800.0,98.0,265.14984589259046,0.9344686945071314,3.0925908979489796
223,16.0,6.0,800.0,98.0,265.09869346185394,0.8843115479099436,3.0931876324693874
224,16.0,7.0,800.0,98.0,265.056903878011,0.8834575928104403,3.0936753127448977
225,16.0,8.0,800.0,99.0,265.42265505848246,0.882593226562267,3.0894122425959596
226,16.0,9.0,800.0,99.0,265.3839236379339,0.8795710357375943,3.0898631264444445
227,16.0,10.0,800.0,99.0,265.79829483294714,0.8702442991014316,3.085046126858586
228,16.0,11.0,800.0,99.0,265.9853299001138,0.8886067810039479,3.0828767898888887
229,16.0,12.0,800.0,99.0,265.8526937550207,0.8872429854648383,3.084414863050505
230,16.0,13.0,800.0,99.0,266.00041829936737,0.8874804997646284,3.08270191920202
231,16.0,14.0,800.0,99.0,266.41814321817844,0.8825129957049276,3.077868459313131
232,16.0,15.0,800.0,99.0,266.85965748464605,0.8802695989347227,3.072776184040404
233,16.0,16.0,800.0,100.0,267.91940611909547,0.8946222617961428,3.06062189327
234,16.0,1.0,1000.0,78.0,267.258902244742,0.8935199621413132,3.81652394525641
235,16.0,2.0,1000.0,79.0,264.624607703766,0.9059719436031901,3.85451681478481
236,16.0,3.0,1000.0,79.0,264.90718758591464,0.8982296536177964,3.850405152443038
237,16.0,4.0,1000.0,79.0,265.1597855692032,0.8841781277936629,3.846737158164557
238,16.0,5.0,1000.0,79.0,265.28894811433105,0.9541638335880024,3.844864278177215
239,16.0,6.0,1000.0,79.0,265.5703320092401,0.8947947804383063,3.840790468886076
240,16.0,7.0,1000.0,79.0,265.5592583579943,0.8799970960237584,3.840950627392405
241,16.0,8.0,1000.0,79.0,265.8807703648422,0.9021910176913116,3.836306020177215
242,16.0,9.0,1000.0,79.0,266.3098161557584,0.8936670080354517,3.830125433316456
243,16.0,10.0,1000.0,79.0,266.32876261868125,0.9029863755051105,3.82985296056962
244,16.0,11.0,1000.0,79.0,266.36486128162227,0.9004114389901718,3.829333926
245,16.0,12.0,1000.0,79.0,266.84465444697844,0.9097360572052694,3.822448690658228
246,16.0,13.0,1000.0,79.0,266.9111662905156,0.9168653070124082,3.821496171088608
247,16.0,14.0,1000.0,79.0,266.9729383192475,0.8993603070910456,3.820611955734177
248,16.0,15.0,1000.0,79.0,267.6308127449126,0.9011128407152491,3.811220350670886
249,16.0,16.0,1000.0,79.0,269.1028516487871,0.9045734150510243,3.790372319544304
250,16.0,1.0,1200.0,63.0,256.3478771363319,0.8899674845977603,4.759157803952381
251,16.0,2.0,1200.0,63.0,256.8575040924085,0.8861355338772727,4.7497152333968256
