,Height,ConTime,Txs,TotalTime,NonConTime,Throughput,Overhead,Latency
0,1.0,3338076.0,0.0,315.221455,0.0,182.29534088580314,0.0,1.2068328182771084
1,2.0,301784359.0,0.0,484.004475,0.0,0.0,0.0,0.0
2,3.0,2410700802.0,0.0,2733.356187,0.0,0.0,0.0,0.0
3,4.0,502025160.0,0.0,893.540953,0.0,0.0,0.0,0.0
4,5.0,1908848762.0,0.0,2379.159107,0.0,0.0,0.0,0.0
5,6.0,503480109.0,0.0,859.42952,0.0,0.0,0.0,0.0
6,7.0,209117066.0,0.0,388.176502,0.0,0.0,0.0,0.0
7,8.0,1412364503.0,0.0,1945.14802,0.0,0.0,0.0,0.0
8,9.0,1022745140.0,0.0,4112.024939,0.0,0.0,0.0,0.0
9,10.0,5816485.0,0.0,147.10818,0.0,0.0,0.0,0.0
10,11.0,1323036992.0,0.0,171.321775,0.0,0.0,0.0,0.0
11,12.0,1410458102.0,0.0,1515.57223,0.0,0.0,0.0,0.0
12,13.0,1205136939.0,0.0,1795.657064,0.0,0.0,0.0,0.0
13,14.0,201650152.0,0.0,1580.649931,0.0,0.0,0.0,0.0
14,15.0,612553838.0,0.0,577.551775,0.0,0.0,0.0,0.0
15,16.0,1708599334.0,0.0,1072.741489,0.0,0.0,0.0,0.0
16,17.0,702664241.0,0.0,2050.226492,0.0,0.0,0.0,0.0
17,18.0,1805093369.0,0.0,1047.780814,0.0,0.0,0.0,0.0
18,19.0,632410355.0,0.0,2217.635433,0.0,0.0,0.0,0.0
19,20.0,6056212.0,0.0,3722.422533,0.0,0.0,0.0,0.0
20,21.0,2010954840.0,0.0,89.377639,0.0,0.0,0.0,0.0
21,22.0,401701673.0,0.0,88.376081,0.0,0.0,0.0,0.0
22,23.0,108796267.0,0.0,2174.475607,0.0,0.0,0.0,0.0
23,24.0,402258186.0,0.0,968.71038,0.0,0.0,0.0,0.0
24,25.0,1214919129.0,0.0,391.456997,0.0,0.0,0.0,0.0
25,26.0,106324919.0,0.0,1377.23747,0.0,0.0,0.0,0.0
26,27.0,404567845.0,0.0,1745.771643,0.0,0.0,0.0,0.0
27,28.0,301631569.0,0.0,319.117166,0.0,0.0,0.0,0.0
28,29.0,352483564.0,0.0,661.229725,0.0,0.0,0.0,0.0
29,30.0,3244956.0,0.0,1282.92767,0.0,0.0,0.0,0.0
30,31.0,808142927.0,0.0,3444.1588,0.0,0.0,0.0,0.0
31,32.0,1707958940.0,0.0,89.365503,0.0,0.0,0.0,0.0
32,33.0,706994477.0,0.0,105.582662,0.0,0.0,0.0,0.0
33,34.0,402068626.0,0.0,1288.316933,0.0,0.0,0.0,0.0
34,35.0,1112477154.0,0.0,1986.710499,0.0,0.0,0.0,0.0
35,36.0,205478086.0,0.0,968.338167,0.0,0.0,0.0,0.0
36,37.0,201317945.0,0.0,864.125669,0.0,0.0,0.0,0.0
37,38.0,204738717.0,0.0,1567.234663,0.0,0.0,0.0,0.0
38,39.0,139489038.0,0.0,606.073584,0.0,0.0,0.0,0.0
39,40.0,1093463.0,0.0,532.943414,0.0,0.0,0.0,0.0
40,41.0,263157.0,0.0,669.72125,0.0,0.0,0.0,0.0
41,42.0,101347841.0,0.0,3269.440725,0.0,0.0,0.0,0.0
42,43.0,201337745.0,0.0,95.043473,0.0,0.0,0.0,0.0
43,44.0,1406908706.0,0.0,244.015953,0.0,0.0,0.0,0.0
44,45.0,903093834.0,0.0,591.12404,0.0,0.0,0.0,0.0
45,46.0,1403612818.0,0.0,650.082351,0.0,0.0,0.0,0.0
46,47.0,1004917818.0,0.0,1766.281905,0.0,0.0,0.0,0.0
47,48.0,1613194800.0,0.0,1333.892118,0.0,0.0,0.0,0.0
48,49.0,803335078.0,0.0,1783.526863,0.0,0.0,0.0,0.0
49,50.0,1468388607.0,0.0,1204.701148,0.0,0.0,0.0,0.0
50,51.0,502009013.0,0.0,2063.926442,0.0,0.0,0.0,0.0
51,52.0,203861482.0,0.0,1163.587396,0.0,0.0,0.0,0.0
52,53.0,402144003.0,0.0,1665.527336,0.0,0.0,0.0,0.0
53,54.0,1306459485.0,0.0,1023.00819,0.0,0.0,0.0,0.0
54,55.0,906994058.0,0.0,470.479795,0.0,0.0,0.0,0.0
55,56.0,503118497.0,0.0,867.057578,0.0,0.0,0.0,0.0
56,57.0,203316107.0,0.0,1713.789742,0.0,0.0,0.0,0.0
57,58.0,104943055.0,0.0,1063.56063,0.0,0.0,0.0,0.0
58,59.0,1114488391.0,0.0,909.760604,0.0,0.0,0.0,0.0
59,60.0,406735422.0,0.0,742.517792,0.0,0.0,0.0,0.0
60,61.0,123174538.0,0.0,1220.689319,0.0,0.0,0.0,0.0
61,62.0,2578918.0,0.0,1554.503399,0.0,0.0,0.0,0.0
62,63.0,201422331.0,0.0,907.411919,0.0,0.0,0.0,0.0
63,64.0,1513530624.0,0.0,3226.305265,0.0,0.0,0.0,0.0
64,65.0,204915529.0,0.0,92.761749,0.0,0.0,0.0,0.0
65,66.0,505223700.0,0.0,140.159357,0.0,0.0,0.0,0.0
66,67.0,1913925759.0,0.0,227.226207,0.0,0.0,0.0,0.0
67,68.0,902931585.0,0.0,384.445041,0.0,0.0,0.0,0.0
68,69.0,1510751995.0,0.0,1884.094084,0.0,0.0,0.0,0.0
69,70.0,745361565.0,0.0,599.789291,0.0,0.0,0.0,0.0
70,71.0,1088360.0,0.0,836.430249,0.0,0.0,0.0,0.0
71,72.0,300898.0,0.0,2070.207694,0.0,0.0,0.0,0.0
72,73.0,1916245552.0,0.0,1444.398468,0.0,0.0,0.0,0.0
